MAFA	Q8CF90
IRX1	P81068
IRX2	P81066
MAFB	P54841
GCG	P55095
TTR	P07309
POU3F4	P62515
SLC2A2	P14246
INS2	P01326
NKX6-1	Q99MA9
UCN3	Q924A4
GLP1R	O35659
RESP18	P47939
SCG5	P12961
HHEX	P43120
SST	P60041
RBP4	Q00724
